NOC,Event,TotalMedals,GoldMedals,rank
AFG,Taekwondo Men's Flyweight,1,0,1
AFG,Taekwondo Men's Featherweight,1,0,2
AIN,Men,1,1,1
AIN,Women,1,0,2
AIN,Men's Single Sculls,1,0,3
ALB,Men's Freestyle 74kg,1,0,1
ALB,Men's Freestyle 65kg,1,0,2
ALG,"Athletics Men's 1,500 metres",2,1,1
ALG,Women's Uneven Bars,1,1,2
ALG,Women's 66kg,1,1,3
ARG,Hockey Men's Hockey,18,18,1
ARG,Football Men's Football,18,18,2
ARG,Sailing Mixed Multihull,4,2,3
ARM,"Wrestling Men's Heavyweight, Greco-Roman",2,1,1
ARM,Weightlifting Men's Middleweight,1,0,2
ARM,"Wrestling Men's Featherweight, Greco-Roman",1,0,3
AUS,Rugby Sevens Women's Rugby Sevens,12,12,1
AUS,Swimming Women's 4 x 100 metres Freestyle Relay,17,12,2
AUS,Swimming Women's 4 x 200 metres Freestyle Relay,21,8,3
AUT,Mixed Dinghy,2,2,1
AUT,Women's Road Race,1,1,2
AUT,Men's Kite,1,1,3
AZE,Taekwondo Men's Heavyweight,1,1,1
AZE,Judo Men's Lightweight,2,1,2
AZE,"Wrestling Men's Light-Heavyweight, Freestyle",2,1,3
BAH,Athletics Men's 4 x 400 metres Relay,15,4,1
BAH,Athletics Women's 400 metres,1,1,2
BAH,Women's 400m,1,1,3
BDI,Athletics Women's 800 metres,1,0,1
BEL,Men Team,18,18,1
BEL,Women's Heptathlon,3,2,2
BEL,Athletics Women's High Jump,1,1,3
BER,Women's Individual,1,1,1
BLR,"Canoeing Men's Kayak Fours, 1,000 metres",4,4,1
BLR,"Canoeing Men's Canadian Doubles, 1,000 metres",4,2,2
BLR,Tennis Mixed Doubles,2,2,3
BOT,Men's 200m,1,1,1
BOT,Athletics Men's 800 metres,1,0,2
BOT,Men's 4 x 400m Relay,6,0,3
BRA,Volleyball Women's Volleyball,24,24,1
BRA,Men Team,22,22,2
BRA,Football Men's Football,52,17,3
BRN,"Athletics Women's 3,000 metres Steeplechase",1,1,1
BRN,Women's 3000m Steeplechase,1,1,2
BRN,Men's Freestyle 97kg,1,1,3
BUL,Group All-Around Team,5,5,1
BUL,Rowing Women's Single Sculls,1,1,2
BUL,Men's 89kg,1,1,3
BUR,Men's Triple Jump,1,0,1
CAN,Women Team,22,22,1
CAN,Rowing Men's Coxed Eights,18,9,2
CAN,Women's Eight Team,9,9,3
CHI,Skeet Women,1,1,1
CHI,Tennis Men's Singles,1,0,2
CHI,Men's Greco-Roman 130kg,1,0,3
CHN,Volleyball Women's Volleyball,24,12,1
CHN,Gymnastics Men's Team All-Around,16,11,2
CHN,Table Tennis Women's Team,9,9,3
CIV,Taekwondo Men's Welterweight,1,1,1
CIV,Taekwondo Women's Welterweight,1,0,2
CIV,Women -67kg,1,0,3
CMR,Athletics Women's Triple Jump,1,1,1
COL,Cycling Women's BMX,2,2,1
COL,Athletics Women's Triple Jump,2,1,2
