NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
AIN,Tennis,Women's Doubles,2,0,Tennis - Women's Doubles,1
AIN,Trampoline Gymnastics,Women,1,0,Trampoline Gymnastics - Women,2
AIN,Rowing,Men's Single Sculls,1,0,Rowing - Men's Single Sculls,3
AIN,Weightlifting,Men's 102kg,1,0,Weightlifting - Men's 102kg,4
AIN,Trampoline Gymnastics,Men,1,1,Trampoline Gymnastics - Men,5
ALB,Wrestling,Men's Freestyle 74kg,1,0,Wrestling - Men's Freestyle 74kg,1
ALB,Wrestling,Men's Freestyle 65kg,1,0,Wrestling - Men's Freestyle 65kg,2
ALG,Athletics,"Athletics Men's 1,500 metres",1,0,"Athletics - Athletics Men's 1,500 metres",1
ALG,Athletics,Athletics Men's 800 metres,1,0,Athletics - Athletics Men's 800 metres,2
ALG,Artistic Gymnastics,Women's Uneven Bars,1,1,Artistic Gymnastics - Women's Uneven Bars,3
ALG,Boxing,Women's 66kg,1,1,Boxing - Women's 66kg,4
ALG,Athletics,Men's 800m,1,0,Athletics - Men's 800m,5
ARG,Hockey,Hockey Men's Hockey,18,18,Hockey - Hockey Men's Hockey,1
ARG,Hockey,Women Team,18,0,Hockey - Women Team,2
ARG,Hockey,Women,16,0,Hockey - Women,3
ARG,Rugby Sevens,Men Team,13,0,Rugby Sevens - Men Team,4
ARG,Volleyball,Men Team,12,0,Volleyball - Men Team,5
ARM,Wrestling,Men's Greco-Roman 97kg,2,0,Wrestling - Men's Greco-Roman 97kg,1
ARM,Artistic Gymnastics,Men's Vault,2,0,Artistic Gymnastics - Men's Vault,2
ARM,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",3
ARM,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1,1,"Wrestling - Wrestling Men's Heavyweight, Greco-Roman",4
ARM,Weightlifting,Weightlifting Men's Heavyweight,1,0,Weightlifting - Weightlifting Men's Heavyweight,5
AUS,Hockey,Men Team,18,0,Hockey - Men Team,1
AUS,Water Polo,Women,13,0,Water Polo - Women,2
AUS,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,12,12,Rugby Sevens - Rugby Sevens Women's Rugby Sevens,3
AUS,Basketball,Men Team,12,0,Basketball - Men Team,4
AUS,Basketball,Women,11,0,Basketball - Women,5
