NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
AFG,Taekwondo,Taekwondo Men's Featherweight,1,0,Taekwondo - Taekwondo Men's Featherweight,1
AFG,Taekwondo,Taekwondo Men's Flyweight,1,0,Taekwondo - Taekwondo Men's Flyweight,2
AIN,Tennis,Women's Doubles,2,0,Tennis - Women's Doubles,1
AIN,Trampoline Gymnastics,Women,1,0,Trampoline Gymnastics - Women,2
AIN,Rowing,Men's Single Sculls,1,0,Rowing - Men's Single Sculls,3
AIN,Weightlifting,Men's 102kg,1,0,Weightlifting - Men's 102kg,4
AIN,Trampoline Gymnastics,Men,1,1,Trampoline Gymnastics - Men,5
ALB,Wrestling,Men's Freestyle 74kg,1,0,Wrestling - Men's Freestyle 74kg,1
ALB,Wrestling,Men's Freestyle 65kg,1,0,Wrestling - Men's Freestyle 65kg,2
ALG,Athletics,"Athletics Men's 1,500 metres",2,1,"Athletics - Athletics Men's 1,500 metres",1
ALG,Judo,Judo Men's Middleweight,1,0,Judo - Judo Men's Middleweight,2
ALG,Judo,Judo Women's Half-Lightweight,1,0,Judo - Judo Women's Half-Lightweight,3
ALG,Athletics,Athletics Men's 800 metres,1,0,Athletics - Athletics Men's 800 metres,4
ALG,Artistic Gymnastics,Women's Uneven Bars,1,1,Artistic Gymnastics - Women's Uneven Bars,5
ARG,Hockey,Hockey Women's Hockey,31,0,Hockey - Hockey Women's Hockey,1
ARG,Hockey,Hockey Men's Hockey,18,18,Hockey - Hockey Men's Hockey,2
ARG,Football,Football Men's Football,18,18,Football - Football Men's Football,3
ARG,Hockey,Women Team,18,0,Hockey - Women Team,4
ARG,Hockey,Women,16,0,Hockey - Women,5
ARM,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2,1,"Wrestling - Wrestling Men's Heavyweight, Greco-Roman",1
ARM,Wrestling,Men's Greco-Roman 97kg,2,0,Wrestling - Men's Greco-Roman 97kg,2
ARM,Artistic Gymnastics,Men's Vault,2,0,Artistic Gymnastics - Men's Vault,3
ARM,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",4
ARM,Weightlifting,Weightlifting Men's Middleweight,1,0,Weightlifting - Weightlifting Men's Middleweight,5
AUS,Hockey,Hockey Men's Hockey,33,0,Hockey - Hockey Men's Hockey,1
AUS,Water Polo,Water Polo Women's Water Polo,26,0,Water Polo - Water Polo Women's Water Polo,2
AUS,Basketball,Basketball Women's Basketball,24,0,Basketball - Basketball Women's Basketball,3
AUS,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,21,8,Swimming - Swimming Women's 4 x 200 metres Freestyle Relay,4
AUS,Swimming,Swimming Women's 4 x 100 metres Medley Relay,19,7,Swimming - Swimming Women's 4 x 100 metres Medley Relay,5
AUT,Sailing,Sailing Mixed Multihull,2,0,Sailing - Sailing Mixed Multihull,1
AUT,Sailing,Mixed Dinghy,2,2,Sailing - Mixed Dinghy,2
AUT,Judo,Women -70 kg,2,0,Judo - Women -70 kg,3
AUT,Swimming,Swimming Women's 100 metres Breaststroke,1,0,Swimming - Swimming Women's 100 metres Breaststroke,4
AUT,Judo,Judo Men's Extra-Lightweight,1,0,Judo - Judo Men's Extra-Lightweight,5
AZE,Wrestling,"Wrestling Men's Heavyweight, Freestyle",3,0,"Wrestling - Wrestling Men's Heavyweight, Freestyle",1
AZE,Wrestling,"Wrestling Women's Flyweight, Freestyle",3,0,"Wrestling - Wrestling Women's Flyweight, Freestyle",2
AZE,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",2,0,"Wrestling - Wrestling Men's Featherweight, Greco-Roman",3
AZE,Judo,Judo Men's Lightweight,2,1,Judo - Judo Men's Lightweight,4
AZE,Judo,Judo Men's Half-Heavyweight,2,0,Judo - Judo Men's Half-Heavyweight,5
BAH,Athletics,Athletics Men's 4 x 400 metres Relay,15,4,Athletics - Athletics Men's 4 x 400 metres Relay,1
BAH,Athletics,Athletics Women's 400 metres,1,1,Athletics - Athletics Women's 400 metres,2
BAH,Athletics,Athletics Men's Triple Jump,1,0,Athletics - Athletics Men's Triple Jump,3
BAH,Athletics,Men's 400m,1,1,Athletics - Men's 400m,4
BAH,Athletics,Women's 400m,1,1,Athletics - Women's 400m,5
BDI,Athletics,Athletics Women's 800 metres,1,0,Athletics - Athletics Women's 800 metres,1
BEL,Hockey,Men Team,18,18,Hockey - Men Team,1
BEL,Hockey,Hockey Men's Hockey,16,0,Hockey - Hockey Men's Hockey,2
BEL,Athletics,Athletics Women's 4 x 100 metres Relay,4,0,Athletics - Athletics Women's 4 x 100 metres Relay,3
BEL,Equestrian,Jumping Team,4,0,Equestrian - Jumping Team,4
BEL,Athletics,Women's Heptathlon,3,2,Athletics - Women's Heptathlon,5
BER,Triathlon,Women's Individual,1,1,Triathlon - Women's Individual,1
BLR,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,12,0,Rhythmic Gymnastics - Rhythmic Gymnastics Women's Group,1
BLR,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",8,0,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",2
BLR,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",4,4,"Canoeing - Canoeing Men's Kayak Fours, 1,000 metres",3
BLR,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",4,2,"Canoeing - Canoeing Men's Canadian Doubles, 1,000 metres",4
BLR,Canoe Sprint,Women's Kayak Four 500m Team,4,0,Canoe Sprint - Women's Kayak Four 500m Team,5
BOT,Athletics,Men's 4 x 400m Relay Team,6,0,Athletics - Men's 4 x 400m Relay Team,1
BOT,Athletics,Men's 4 x 400m Relay,6,0,Athletics - Men's 4 x 400m Relay,2
BOT,Athletics,Athletics Men's 800 metres,1,0,Athletics - Athletics Men's 800 metres,3
BOT,Athletics,Men's 200m,1,1,Athletics - Men's 200m,4
BRA,Football,Football Men's Football,52,17,Football - Football Men's Football,1
BRA,Volleyball,Volleyball Men's Volleyball,36,12,Volleyball - Volleyball Men's Volleyball,2
BRA,Volleyball,Volleyball Women's Volleyball,24,24,Volleyball - Volleyball Women's Volleyball,3
BRA,Football,Men Team,22,22,Football - Men Team,4
BRA,Football,Women,22,0,Football - Women,5
BRN,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,1,"Athletics - Athletics Women's 3,000 metres Steeplechase",1
BRN,Athletics,"Athletics Women's 1,500 metres",1,0,"Athletics - Athletics Women's 1,500 metres",2
BRN,Athletics,Athletics Women's Marathon,1,0,Athletics - Athletics Women's Marathon,3
BRN,Athletics,"Women's 10,000m",1,0,"Athletics - Women's 10,000m",4
BRN,Athletics,Women's 3000m Steeplechase,1,1,Athletics - Women's 3000m Steeplechase,5
BUL,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,5,0,Rhythmic Gymnastics - Rhythmic Gymnastics Women's Group,1
BUL,Rhythmic Gymnastics,Group All-Around Team,5,5,Rhythmic Gymnastics - Group All-Around Team,2
BUL,Wrestling,"Wrestling Women's Heavyweight, Freestyle",2,0,"Wrestling - Wrestling Women's Heavyweight, Freestyle",3
BUL,Athletics,Athletics Women's High Jump,1,0,Athletics - Athletics Women's High Jump,4
BUL,Rowing,Rowing Women's Single Sculls,1,1,Rowing - Rowing Women's Single Sculls,5
BUR,Athletics,Men's Triple Jump,1,0,Athletics - Men's Triple Jump,1
CAN,Football,Football Women's Football,36,0,Football - Football Women's Football,1
CAN,Football,Women Team,22,22,Football - Women Team,2
CAN,Rowing,Rowing Men's Coxed Eights,18,9,Rowing - Rowing Men's Coxed Eights,3
CAN,Baseball/Softball,Softball Team,15,0,Baseball/Softball - Softball Team,4
CAN,Rugby Sevens,Women,14,0,Rugby Sevens - Women,5
CHI,Tennis,Tennis Men's Singles,1,0,Tennis - Tennis Men's Singles,1
CHI,Wrestling,Men's Greco-Roman 130kg,1,0,Wrestling - Men's Greco-Roman 130kg,2
CHI,Shooting,Skeet Women,1,1,Shooting - Skeet Women,3
CHN,Synchronized Swimming,Synchronized Swimming Women's Team,27,0,Synchronized Swimming - Synchronized Swimming Women's Team,1
CHN,Volleyball,Volleyball Women's Volleyball,24,12,Volleyball - Volleyball Women's Volleyball,2
CHN,Artistic Swimming,Team,17,9,Artistic Swimming - Team,3
CHN,Hockey,Women,17,0,Hockey - Women,4
CHN,Gymnastics,Gymnastics Men's Team All-Around,16,11,Gymnastics - Gymnastics Men's Team All-Around,5
CIV,Taekwondo,Taekwondo Men's Welterweight,1,1,Taekwondo - Taekwondo Men's Welterweight,1
CIV,Taekwondo,Taekwondo Women's Welterweight,1,0,Taekwondo - Taekwondo Women's Welterweight,2
CIV,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,3
CIV,Taekwondo,Women -67kg,1,0,Taekwondo - Women -67kg,4
CMR,Athletics,Athletics Women's Triple Jump,1,1,Athletics - Athletics Women's Triple Jump,1
COL,Weightlifting,Weightlifting Men's Featherweight,3,1,Weightlifting - Weightlifting Men's Featherweight,1
COL,Judo,Judo Women's Middleweight,2,0,Judo - Judo Women's Middleweight,2
COL,Athletics,Athletics Women's Triple Jump,2,1,Athletics - Athletics Women's Triple Jump,3
COL,Wrestling,"Wrestling Women's Lightweight, Freestyle",2,0,"Wrestling - Wrestling Women's Lightweight, Freestyle",4
COL,Cycling,Cycling Women's BMX,2,2,Cycling - Cycling Women's BMX,5
CPV,Boxing,Men's 51kg,1,0,Boxing - Men's 51kg,1
CRO,Water Polo,Water Polo Men's Water Polo,26,13,Water Polo - Water Polo Men's Water Polo,1
CRO,Handball,Handball Men's Handball,15,0,Handball - Handball Men's Handball,2
CRO,Water Polo,Men,13,0,Water Polo - Men,3
CRO,Rowing,Rowing Men's Quadruple Sculls,4,0,Rowing - Rowing Men's Quadruple Sculls,4
CRO,Tennis,Men's Doubles Team,4,2,Tennis - Men's Doubles Team,5
CUB,Baseball,Baseball Men's Baseball,24,0,Baseball - Baseball Men's Baseball,1
CUB,Boxing,Boxing Men's Lightweight,3,0,Boxing - Boxing Men's Lightweight,2
CUB,Boxing,Boxing Men's Bantamweight,3,1,Boxing - Boxing Men's Bantamweight,3
CUB,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",3,3,"Wrestling - Wrestling Men's Super-Heavyweight, Greco-Roman",4
CUB,Judo,Judo Women's Heavyweight,3,1,Judo - Judo Women's Heavyweight,5
CYP,Sailing,Sailing Men's One Person Dinghy,1,0,Sailing - Sailing Men's One Person Dinghy,1
CYP,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,2
CZE,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",8,0,"Canoeing - Canoeing Men's Kayak Fours, 1,000 metres",1
CZE,Tennis,Tennis Women's Doubles,4,0,Tennis - Tennis Women's Doubles,2
